MSA	SPOP	SEMP	SHH
3280	1073.238185	724.3482084	430.4970297
3285	132.182	77.898	50.505
3290	368.691	201.038	149.882
3299	288.084	190.23	111.303
3320	915.624	628.395	312.018
3350	202.64	127.994	74.453
3360	5259.341	3208.924	1879.999
3399	623.1536895	407.0398354	255.3519198
3400	312.341	156.637	131.231
3440	409.714	264.611	167.488
3480	1833.479	1141.191	744.394
3500	133.071	107.087	56.034
3520	160.478	70.378	60.922
3560	490.805	319.394	184.102
3580	113.979	77.47	45.387
3599	781.961	406.002	296.232
3600	1323.774	828.155	532.967
3605	166.528	108.026	57.833
3610	133.69	72.838	53.803
3620	161.654	82.632	64.202
3640	596.955	310.305	232.949
3660	506.139	277.994	217.68
3680	220.598	115.078	89.595
3699	1511.56	772.829	590.882
3700	94.866	59.62	39.043
3710	175.805	104.896	70.784
3720	463.804	241.285	188.204
3740	113.91	54.31	43.359
3760	1984.584	1281.582	806.779
3799	2845.287	1368.723	1156.165
380	285.341	208.242	107.623
3800	167.923	76.111	65.032
3810	366.842	221.405	129.905
3840	803.978	499.281	342.2
3850	99.228	52.424	42.468
3870	134.869	95.427	54.496
3880	419.656	252.847	161.321
3899	330.711	243.975	136.553
3920	200.763	118.821	78.444
3960	187.676	111.902	72.518
3980	598.442	279.755	240.014
3999	2174.528	1110.653	856.226
40	127.928	89.339	49.492
4000	512.436	310.958	196.26
4040	457.61	275.803	185.726
4080	249.52	121.73	68.543
4099	1392.374	755.842	559.83
4100	206.724	95.626	73.809
4120	2199.213	1310.488	845.938
4150	117.423	66.487	47.666
4160	322.1640015	184.6885534	127.3178151
4199	1021.64	554.493	418.322
4200	111.98	67.467	40.273
4240	80.52530688	49.23475397	33.68569842
4280	546.702	363.208	224.359
4299	1922.573	966.23	770.372
4320	151.976	92.636	58.709
4360	285.697	210.194	118.586
440	644.025	345.16	253.015
